File Name,Number of Unique Tasks,Deficit (From 50)
10_collapsed.csv,46,4
11_collapsed.csv,46,4
12_collapsed.csv,46,4
13_collapsed.csv,45,5
14_collapsed.csv,46,4
16_collapsed.csv,46,4
17_collapsed.csv,46,4
18_collapsed.csv,46,4
19_collapsed.csv,46,4
20_collapsed.csv,46,4
21_collapsed.csv,46,4
22_collapsed.csv,46,4
24_collapsed.csv,46,4
25_collapsed.csv,46,4
26_collapsed.csv,46,4
27_collapsed.csv,46,4
28_collapsed.csv,46,4
29_collapsed.csv,46,4
30_collapsed.csv,46,4
31_collapsed.csv,46,4
32_collapsed.csv,46,4
33_collapsed.csv,46,4
34_collapsed.csv,46,4
35_collapsed.csv,46,4
36_collapsed.csv,46,4
50_collapsed.csv,46,4
51_collapsed.csv,43,7
52_collapsed.csv,45,5
7_collapsed.csv,46,4
8_collapsed.csv,46,4
TOTAL,1375,125
