Participant,Task,AOI,NumberOfFixations,TotalFixationDuration,FixationDurationAverage,NumberOfSaccades,TotalSaccadeLength,SaccadeLengthAverage,TotalSaccadeAbsAngle,SaccadeAbsAngleAverage,TotalSaccadeRelAngle,SaccadeRelAngleAverage,LongestFixationDurationInAOI,ProportionOfTotalFixations,ProportionOfTotalFixationDuration
30,DL11,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,Title_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,Answers_AOI,3,1025,341.6666666666667,3,808.1123819,269.37079396666667,208.66619384,69.55539794666667,339.85059217,113.28353072333334,443,0.06976744186046512,0.10678195645379727
30,DL11,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,Graph_AOI,12,2988,249.0,12,4638.43360408,386.5361336733333,1150.8295917570001,95.90246597975,1111.2548642949998,92.60457202458332,1025,0.27906976744186046,0.3112824252526305
30,DL11,NoAOI_AOI,28,5586,199.5,28,7598.447865800002,271.3731380642858,2242.8333121230007,80.1011897186786,2372.778046703,84.74207309653572,426,0.6511627906976745,0.5819356182935722
30,DH3,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH3,Title_AOI,3,536,178.66666666666666,3,759.4550241000001,253.15167470000003,222.94335229000004,74.31445076333334,467.1612895999999,155.72042986666665,190,0.023255813953488372,0.02149933817335847
30,DH3,LabelBox_AOI,16,4231,264.4375,16,2750.290231201,171.8931394500625,926.7536750539999,57.922104690874995,1105.151893106,69.071993319125,558,0.12403100775193798,0.16970839517067104
30,DH3,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH3,Answers_AOI,17,3958,232.8235294117647,17,1609.9855429200002,94.7050319364706,1202.005618194,70.70621283494117,1691.406313453,99.49448902664706,417,0.13178294573643412,0.15875817255625527
