Current_task,FixationX,FixationY,SaccadeLength
pretask,962.0,426.0,N/A
pretask,992.0,437.0,31.953090617340916
pretask,1064.0,348.0,114.47707194019246
pretask,999.0,679.0,337.3218048095913
pretask,1332.0,1036.0,488.19873002702496
pretask,489.0,1065.0,843.4986662704334
pretask,486.0,1069.0,5.0
pretask,960.0,453.0,777.2592874967786
pretask,947.0,503.0,51.66236541235796
pretask,960.0,521.0,22.20360331117452
pretask,954.0,524.0,6.708203932499369
pretask,938.0,493.0,34.88552708502482
pretask,915.0,838.0,345.7658167025769
pretask,967.0,440.0,401.3826104853074
pretask,989.0,442.0,22.090722034374522
pretask,986.0,450.0,8.54400374531753
pretask,1053.0,414.0,76.05918747922567
pretask,1140.0,383.0,92.35799911215054
pretask,1023.0,466.0,143.45033983926285
pretask,965.0,461.0,58.215118311311535
pretask,973.0,459.0,8.246211251235321
pretask,846.0,383.0,148.00337833982033
pretask,984.0,367.0,138.92443989449805
pretask,1176.0,353.0,192.50974001333023
pretask,1144.0,369.0,35.77708763999664
pretask,1039.0,374.0,105.11898020814318
pretask,964.0,491.0,138.97481786280562
pretask,986.0,614.0,124.95199078045935
pretask,972.0,671.0,58.69412236331676
pretask,966.0,680.0,10.816653826391969
pretask,932.0,766.0,92.47702417357513
pretask,933.0,774.0,8.06225774829855
pretask,771.0,865.0,185.80904176062046
pretask,915.0,505.0,387.7318661136843
pretask,630.0,959.0,536.0419759683004
pretask,893.0,508.0,522.0823689802213
pretask,957.0,501.0,64.38167441127949
pretask,545.0,732.0,472.3399199728941
pretask,954.0,966.0,471.2080220030215
pretask,993.0,372.0,595.2789262186257
pretask,929.0,650.0,285.27180021866866
pretask,984.0,744.0,108.90821823902914
pretask,933.0,561.0,189.97368238785077
pretask,957.0,642.0,84.48076704197234
pretask,927.0,408.0,235.91523901605
pretask,972.0,432.0,51.0
pretask,947.0,542.0,112.80514172678478
pretask,916.0,513.0,42.44997055358225
pretask,931.0,627.0,114.9826073804208
pretask,954.0,668.0,47.01063709417264
pretask,954.0,685.0,17.0
pretask,963.0,676.0,12.727922061357855
pretask,977.0,686.0,17.204650534085253
pretask,536.0,212.0,647.4233545370448
pretask,474.0,216.0,62.12889826803627
pretask,467.0,871.0,655.0374035121964
pretask,417.0,160.0,712.7559189512214
pretask,462.0,111.0,66.52818951391959
pretask,848.0,33.0,393.8019806958822
pretask,704.0,279.0,285.04736448527285
pretask,568.0,269.0,136.36715146984628
pretask,524.0,366.0,106.51291001564083
pretask,1365.0,294.0,844.0764183413727
pretask,1540.0,236.0,184.36105879496353
pretask,1535.0,246.0,11.180339887498949
pretask,442.0,305.0,1094.591247909465
pretask,1367.0,319.0,925.10593987932
pretask,1232.0,349.0,138.2931668593933
pretask,1568.0,275.0,344.05232160239814
pretask,708.0,404.0,869.6211818947374
pretask,1375.0,359.0,668.516267565719
pretask,1458.0,356.0,83.05419917138447
pretask,1436.0,367.0,24.596747752497688
pretask,1448.0,357.0,15.620499351813308
pretask,1464.0,445.0,89.44271909999159
pretask,1424.0,465.0,44.721359549995796
pretask,1431.0,465.0,7.0
pretask,1527.0,438.0,99.72462083156798
pretask,454.0,511.0,1075.4803577936698
pretask,449.0,525.0,14.866068747318506
pretask,500.0,522.0,51.088159097779204
pretask,551.0,518.0,51.15662224971465
pretask,696.0,518.0,145.0
pretask,486.0,556.0,213.41040274550818
pretask,677.0,564.0,191.1674658512792
pretask,680.0,551.0,13.341664064126334
pretask,1355.0,568.0,675.2140401383846
pretask,1496.0,533.0,145.27904184706065
pretask,451.0,640.0,1050.463707131284
pretask,668.0,641.0,217.00230413523263
pretask,836.0,609.0,171.0204666114556
pretask,869.0,611.0,33.06055050963308
pretask,813.0,607.0,56.142675390472796
pretask,1212.0,577.0,400.1262300824579
pretask,1353.0,583.0,141.12760183606892
pretask,1477.0,584.0,124.00403219250575
pretask,1371.0,593.0,106.38138934982942
pretask,1336.0,641.0,59.405386961116584
pretask,459.0,816.0,894.2896622459638
pretask,453.0,793.0,23.769728648009426
pretask,429.0,813.0,31.240998703626616
pretask,405.0,808.0,24.515301344262525
pretask,407.0,822.0,14.142135623730951
pretask,401.0,818.0,7.211102550927978
pretask,401.0,818.0,0.0
pretask,396.0,820.0,5.385164807134504
pretask,395.0,823.0,3.1622776601683795
pretask,435.0,868.0,60.207972893961475
pretask,476.0,918.0,64.66065264130884
pretask,498.0,833.0,87.80091115700337
pretask,449.0,827.0,49.36598018878993
pretask,449.0,825.0,2.0
pretask,404.0,588.0,241.2343259156955
pretask,418.0,304.0,284.3448610402516
pretask,563.0,227.0,164.17673403987544
pretask,404.0,281.0,167.91962362987834
pretask,554.0,226.0,159.76545308670458
pretask,398.0,514.0,327.53625753494833
pretask,1314.0,1025.0,1048.8932262151377
pretask,1441.0,1015.0,127.39309243440164
pretask,1488.0,1028.0,48.76474136094644
pretask,1463.0,1032.0,25.317977802344327
pretask,1468.0,1030.0,5.385164807134504
pretask,1454.0,1033.0,14.317821063276353
pretask,1455.0,1029.0,4.123105625617661
pretask,454.0,121.0,1351.4677206652034
pretask,400.0,228.0,119.85407794480753
pretask,332.0,198.0,74.32361670424818
pretask,388.0,304.0,119.88327656516567
pretask,373.0,325.0,25.80697580112788
pretask,406.0,356.0,45.27692569068709
pretask,448.0,360.0,42.190046219457976
pretask,353.0,355.0,95.13148795220224
pretask,430.0,347.0,77.41446893184762
pretask,354.0,510.0,179.84715733088473
pretask,312.0,536.0,49.39635614091387
pretask,275.0,527.0,38.07886552931954
pretask,393.0,671.0,186.17196351760379
pretask,379.0,594.0,78.26237921249263
pretask,438.0,523.0,92.31467922275417
pretask,384.0,302.0,227.50164834567684
pretask,394.0,388.0,86.57944328765345
pretask,389.0,262.0,126.09916732476864
pretask,396.0,256.0,9.219544457292887
pretask,375.0,277.0,29.698484809834994
pretask,331.0,277.0,44.0
pretask,334.0,296.0,19.235384061671343
pretask,380.0,281.0,48.38388161361178
pretask,523.0,239.0,149.04026301640775
pretask,442.0,164.0,110.39021695784459
pretask,504.0,186.0,65.7875368135941
pretask,373.0,251.0,146.23952953972466
pretask,390.0,262.0,20.248456731316587
pretask,363.0,215.0,54.20332093147061
pretask,561.0,276.0,207.18349355100662
pretask,472.0,307.0,94.2443632266673
pretask,408.0,313.0,64.28063471995279
pretask,414.0,369.0,56.32051136131489
pretask,409.0,353.0,16.76305461424021
pretask,509.0,390.0,106.6255128944288
pretask,431.0,351.0,87.20665112249179
pretask,388.0,370.0,47.01063709417264
pretask,486.0,440.0,120.43255373859678
pretask,386.0,303.0,169.61426826773743
pretask,530.0,405.0,176.4652940382329
pretask,724.0,395.0,194.25756098540927
pretask,492.0,320.0,243.82165613415063
pretask,455.0,225.0,101.95096860746347
pretask,420.0,315.0,96.56603957913983
pretask,494.0,356.0,84.59905436823747
pretask,471.0,308.0,53.225933528685054
pretask,416.0,414.0,119.41942890501528
pretask,390.0,162.0,253.33771926027913
pretask,392.0,266.0,104.01922899156675
pretask,425.0,338.0,79.20227269466452
pretask,456.0,249.0,94.2443632266673
pretask,382.0,339.0,116.51609330903607
pretask,401.0,414.0,77.3692445355388
pretask,435.0,413.0,34.0147027033899
pretask,396.0,367.0,60.30754513325841
pretask,431.0,396.0,45.45327270945405
pretask,415.0,427.0,34.88552708502482
pretask,303.0,395.0,116.48175822848829
pretask,398.0,377.0,96.6902270139025
pretask,280.0,368.0,118.3427226321923
pretask,297.0,400.0,36.235341863986875
pretask,312.0,389.0,18.601075237738275
pretask,410.0,406.0,99.46356116689167
pretask,413.0,407.0,3.1622776601683795
pretask,556.0,410.0,143.0314650697531
pretask,351.0,352.0,213.04694318389082
pretask,384.0,320.0,45.967379738244816
pretask,390.0,476.0,156.11534197509224
pretask,386.0,444.0,32.2490309931942
pretask,376.0,495.0,51.97114584074513
pretask,405.0,524.0,41.012193308819754
pretask,422.0,557.0,37.12142238654117
pretask,474.0,539.0,55.02726596879042
pretask,318.0,449.0,180.0999722376436
pretask,805.0,488.0,488.5591059431806
pretask,407.0,548.0,402.4972049592394
pretask,324.0,556.0,83.38465086573187
pretask,395.0,572.0,72.78049189171504
pretask,296.0,550.0,101.41498903022176
pretask,399.0,525.0,105.99056561788883
pretask,481.0,506.0,84.17244204607586
pretask,766.0,521.0,285.3944638566067
pretask,416.0,551.0,351.2833614050059
pretask,372.0,539.0,45.60701700396552
pretask,382.0,529.0,14.142135623730951
pretask,501.0,528.0,119.00420160649792
pretask,319.0,523.0,182.0686683644388
pretask,387.0,556.0,75.58438992278762
pretask,351.0,548.0,36.87817782917155
pretask,323.0,546.0,28.071337695236398
pretask,401.0,654.0,133.2216198670471
pretask,366.0,595.0,68.60029154456998
pretask,347.0,122.0,473.38145295311267
pretask,464.0,160.0,123.01625908797584
pretask,386.0,305.0,164.64810961562844
pretask,451.0,218.0,108.60018416190647
pretask,420.0,221.0,31.144823004794873
pretask,501.0,252.0,86.7294644281861
pretask,622.0,240.0,121.59358535712317
pretask,480.0,173.0,157.01273833673497
pretask,627.0,214.0,152.6106156202772
pretask,562.0,219.0,65.19202405202648
pretask,538.0,218.0,24.020824298928627
pretask,601.0,210.0,63.50590523722971
pretask,432.0,182.0,171.30382365843442
pretask,468.0,222.0,53.81449618829484
pretask,514.0,224.0,46.04345773288535
pretask,546.0,215.0,33.24154027718932
pretask,608.0,224.0,62.64982043070834
pretask,496.0,154.0,132.07573584879245
pretask,427.0,198.0,81.83520025025906
pretask,521.0,210.0,94.76286192385707
pretask,468.0,225.0,55.08175741568164
pretask,608.0,240.0,140.80127840328723
pretask,580.0,219.0,35.0
pretask,544.0,227.0,36.87817782917155
pretask,479.0,289.0,89.8276126811795
pretask,521.0,196.0,102.04410811016969
pretask,601.0,203.0,80.30566605165541
pretask,575.0,189.0,29.5296461204668
pretask,504.0,169.0,73.76313442364011
pretask,351.0,169.0,153.0
pretask,414.0,303.0,148.07092894960846
pretask,371.0,398.0,104.27847332982968
pretask,366.0,175.0,223.0560467685196
pretask,481.0,272.0,150.4460036026215
pretask,612.0,244.0,133.9589489358587
pretask,523.0,325.0,120.34118164618461
pretask,435.0,336.0,88.68483523128404
pretask,405.0,327.0,31.32091952673165
pretask,339.0,429.0,121.49074038789952
pretask,421.0,494.0,104.63746938836012
pretask,458.0,541.0,59.81638571495272
pretask,419.0,548.0,39.6232255123179
pretask,402.0,556.0,18.788294228055936
pretask,424.0,547.0,23.769728648009426
pretask,343.0,576.0,86.03487664894976
pretask,458.0,600.0,117.47765745025733
pretask,450.0,591.0,12.041594578792296
pretask,410.0,538.0,66.40030120413611
pretask,461.0,453.0,99.12618221237011
pretask,359.0,443.0,102.48902380255166
pretask,428.0,478.0,77.3692445355388
pretask,348.0,457.0,82.71033792700887
pretask,549.0,506.0,206.8864422817503
pretask,364.0,544.0,188.86238376129853
pretask,426.0,537.0,62.39390995922599
pretask,408.0,580.0,46.61544808322666
pretask,419.0,476.0,104.58011283222064
pretask,365.0,490.0,55.78530272392541
pretask,386.0,520.0,36.61966684720111
pretask,520.0,509.0,134.45073447177595
pretask,333.0,532.0,188.40912929048847
pretask,317.0,513.0,24.839484696748443
pretask,435.0,458.0,130.18832512940628
pretask,490.0,522.0,84.38601779915912
pretask,342.0,513.0,148.27339613025663
pretask,296.0,481.0,56.0357029044876
pretask,369.0,471.0,73.68174807915459
pretask,486.0,496.0,119.64113005150027
pretask,336.0,483.0,150.56227947264878
pretask,537.0,496.0,201.41995928904365
pretask,508.0,489.0,29.832867780352597
pretask,360.0,345.0,206.49455198624491
pretask,440.0,404.0,99.40321926376429
pretask,454.0,466.0,63.56099432828282
