ParticipantID,Task,TotalNumFixations,TotalNumFixationsInAOI,TotalProportionsOfFixationsInAOI,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOFTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOFTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOFTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOFTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOFTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOFTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOFTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOFTotalFixationDuration,HIGH-3/MEDIUM-2/LOW-1,HIGH-1/LOW-0
10,DH7,179,107,0.597765363,25555,238.8317757,0,17895.20608,167.2449166,0,8275.596004,77.34201873,0,9423.317562,88.06838843,0,24,6455,268.9583333,841,0.224299065,0.252592448,0,0,0,0,0,0,10,3171,317.1,914,0.093457944,0.124085306,5,870,174,351,0.046728972,0.034044218,6,1508,251.3333333,333,0.056074766,0.059009978,1,133,133,133,0.009345794,0.005204461,3,382,127.3333333,149,0.028037383,0.014948151,58,13036,224.7586207,847,0.542056075,0.510115437,2,0
10,CL14,112,55,0.491071429,12825,233.1818182,0,8303.783781,150.9778869,0,3963.530069,72.06418307,0,5747.37757,104.497774,0,14,3297,235.5,620,0.254545455,0.257076023,9,2983,331.4444444,875,0.163636364,0.232592593,6,1521,253.5,283,0.109090909,0.118596491,18,3462,192.3333333,392,0.327272727,0.26994152,6,1132,188.6666667,233,0.109090909,0.088265107,0,0,0,0,0,0,0,0,0,0,0,0,2,430,215,293,0.036363636,0.033528265,2,0
10,CL5,48,24,0.5,5740,239.1666667,0,6078.607654,253.2753189,0,1835.701164,76.48754851,0,2182.146445,90.92276854,0,0,0,0,0,0,0,10,2917,291.7,613,0.416666667,0.508188153,1,258,258,258,0.041666667,0.044947735,4,745,186.25,302,0.166666667,0.129790941,2,399,199.5,258,0.083333333,0.069512195,1,110,110,110,0.041666667,0.019163763,0,0,0,0,0,0,6,1311,218.5,341,0.25,0.228397213,2,0
10,DL7,134,49,0.365671642,11179,228.1428571,0,12479.26617,254.6789015,0,3771.453368,76.96843607,0,4541.94015,92.69265613,0,15,3474,231.6,663,0.306122449,0.310761249,0,0,0,0,0,0,5,1169,233.8,433,0.102040816,0.104571071,0,0,0,0,0,0,1,178,178,178,0.020408163,0.015922712,0,0,0,0,0,0,4,748,187,265,0.081632653,0.066911173,24,5610,233.75,646,0.489795918,0.501833796,2,0
10,CL6,60,38,0.633333333,8525,224.3421053,0,8659.166997,227.8728157,0,3253.636757,85.62201992,0,3441.750888,90.57239179,0,13,2556,196.6153846,433,0.342105263,0.299824047,0,0,0,0,0,0,0,0,0,0,0,0,3,604,201.3333333,284,0.078947368,0.07085044,1,425,425,425,0.026315789,0.049853372,0,0,0,0,0,0,0,0,0,0,0,0,21,4940,235.2380952,708,0.552631579,0.579472141,2,0
10,DH10,136,52,0.382352941,13595,261.4423077,0,17213.78945,331.0344125,0,4473.907858,86.03668958,0,5141.57432,98.87642923,0,9,2086,231.7777778,342,0.173076923,0.153438764,0,0,0,0,0,0,9,2166,240.6666667,790,0.173076923,0.159323281,2,284,142,167,0.038461538,0.020890033,3,1181,393.6666667,881,0.057692308,0.086870173,0,0,0,0,0,0,11,4004,364,1259,0.211538462,0.294520044,18,3874,215.2222222,557,0.346153846,0.284957705,2,0
10,CL10,87,48,0.551724138,9066,188.875,0,7888.89359,164.3519498,0,4267.675888,88.90991433,0,5065.119019,105.5233129,0,3,526,175.3333333,241,0.0625,0.058018972,0,0,0,0,0,0,0,0,0,0,0,0,22,4356,198,386,0.458333333,0.480476506,6,1153,192.1666667,299,0.125,0.127178469,0,0,0,0,0,0,1,210,210,210,0.020833333,0.023163468,16,2821,176.3125,308,0.333333333,0.311162585,2,0
10,DL3,226,158,0.699115044,38883,246.0949367,0,32329.30554,204.6158579,0,12505.20607,79.14687389,0,14319.12734,90.6273882,0,23,4740,206.0869565,586,0.14556962,0.121904174,0,0,0,0,0,0,3,593,197.6666667,242,0.018987342,0.015250881,2,235,117.5,120,0.012658228,0.006043772,11,2404,218.5454545,610,0.069620253,0.061826505,0,0,0,0,0,0,27,8718,322.8888889,1033,0.170886076,0.224211095,92,22193,241.2282609,1068,0.582278481,0.570763573,2,0
10,CL8,85,43,0.505882353,9548,222.0465116,0,5545.362807,128.9619257,0,3667.939766,85.30092479,0,4090.079309,95.11812347,0,6,1158,193,299,0.139534884,0.121281944,6,1125,187.5,264,0.139534884,0.117825723,1,208,208,208,0.023255814,0.021784667,0,0,0,0,0,0,8,1813,226.625,578,0.186046512,0.189882698,0,0,0,0,0,0,4,767,191.75,234,0.093023256,0.080330959,18,4477,248.7222222,500,0.418604651,0.468894009,2,0
10,CL2,93,59,0.634408602,12745,216.0169492,0,10530.10967,178.4764351,0,5301.859065,89.86201805,0,4594.654871,77.87550628,0,2,299,149.5,174,0.033898305,0.02346018,15,3369,224.6,393,0.254237288,0.264338956,4,1108,277,589,0.06779661,0.086936053,8,1089,136.125,248,0.13559322,0.085445273,6,2060,343.3333333,892,0.101694915,0.161632013,2,213,106.5,109,0.033898305,0.016712436,0,0,0,0,0,0,22,4607,209.4090909,506,0.372881356,0.361475088,2,0
10,CL3,74,23,0.310810811,5752,250.0869565,0,5190.926977,225.6924772,0,2158.192074,93.83443802,0,2112.01054,91.82654523,0,6,1386,231,386,0.260869565,0.240959666,2,593,296.5,300,0.086956522,0.103094576,0,0,0,0,0,0,3,775,258.3333333,333,0.130434783,0.134735744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2998,249.8333333,1210,0.52173913,0.521210014,2,0
10,CL4,78,35,0.448717949,6616,189.0285714,0,10370.44663,296.298475,0,3172.856488,90.65304252,0,3504.488933,100.1282552,0,8,1492,186.5,268,0.228571429,0.225513906,1,115,115,115,0.028571429,0.017382104,1,199,199,199,0.028571429,0.030078597,5,875,175,209,0.142857143,0.132255139,2,350,175,235,0.057142857,0.052902056,0,0,0,0,0,0,2,263,131.5,132,0.057142857,0.039752116,16,3322,207.625,410,0.457142857,0.502116082,2,0
10,CH3,283,186,0.657243816,46030,247.4731183,0,30031.04015,161.4572051,0,17703.07761,95.1778366,0,18195.37613,97.82460283,0,27,6028,223.2592593,834,0.14516129,0.130958071,6,1239,206.5,309,0.032258065,0.026917228,40,10153,253.825,816,0.215053763,0.220573539,20,3489,174.45,441,0.107526882,0.075798392,8,2645,330.625,801,0.043010753,0.057462524,4,957,239.25,341,0.021505376,0.020790789,5,1769,353.8,707,0.02688172,0.038431458,76,19750,259.8684211,1016,0.408602151,0.429067999,2,0
10,DH8,24,10,0.416666667,2398,239.8,0,3121.777068,312.1777068,0,853.2808016,85.32808016,0,992.8724216,99.28724216,0,3,763,254.3333333,367,0.3,0.318181818,0,0,0,0,0,0,4,1161,290.25,328,0.4,0.484153461,0,0,0,0,0,0,2,266,133,159,0.2,0.110925771,0,0,0,0,0,0,1,208,208,208,0.1,0.086738949,0,0,0,0,0,0,2,0
10,CH1,62,37,0.596774194,8593,232.2432432,0,7156.451248,193.4176013,0,3259.487624,88.0942601,0,4223.699713,114.1540463,0,2,347,173.5,235,0.054054054,0.040381706,0,0,0,0,0,0,9,2580,286.6666667,763,0.243243243,0.300244385,0,0,0,0,0,0,0,0,0,0,0,0,1,175,175,175,0.027027027,0.020365414,0,0,0,0,0,0,25,5491,219.64,631,0.675675676,0.639008495,2,0
