Participant,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,TotalNumFixations,TotalNumFixationsInAOI,TotalProportionsOfFixationsInAOI,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOfTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOfTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOfTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOfTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOfTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOfTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOfTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOfTotalFixationDuration
10,541502,232.50407900386432,149.4594185333845,452196.28951022297,194.1589907729596,249.03013228475172,175584.69973868498,75.39059671047015,65.829244682532,229745.582483777,98.64559144859467,63.05064347905645,2329,1340,0.5753542292829541,295,70348,238.4678,1407,0.126664,0.219918,15,2887,192.4667,300,0.006441,0.009025,196,51052,260.4694,1102,0.084156,0.159596,33,6032,182.7879,376,0.014169,0.018857,139,35536,255.6547,1025,0.059682,0.111091,22,4603,209.2273,542,0.009446,0.01439,31,7994,257.871,1259,0.01331,0.02499,609,141431,232.2348,1350,0.261486,0.442134
11,128014,163.7007672634271,109.66107709846948,240859.77370027703,308.00482570367905,323.704203718048,65084.053966135005,83.22769049377878,63.43895795273962,62286.133651200995,79.64978727775063,56.96332356640975,782,298,0.38107416879795397,3,508,169.3333,241,0.003836,0.010449,10,1656,165.6,308,0.012788,0.034063,35,5307,151.6286,262,0.044757,0.109162,15,2326,155.0667,242,0.019182,0.047844,36,5763,160.0833,586,0.046036,0.118541,7,1047,149.5714,231,0.008951,0.021536,10,1554,155.4,324,0.012788,0.031965,182,30455,167.3352,1004,0.232737,0.62644
12,263703,230.91330998248688,163.40574025686547,226933.021815403,198.71543066147373,229.1163259827128,94937.359195729,83.1325387002881,66.40979499375666,109263.086558472,95.67695845750613,64.28654818662041,1142,724,0.6339754816112084,151,32714,216.649,930,0.132224,0.187027,17,4454,262.0,1162,0.014886,0.025464,81,20865,257.5926,1322,0.070928,0.119286,44,11996,272.6364,1063,0.038529,0.068581,57,14769,259.1053,2042,0.049912,0.084435,12,2459,204.9167,400,0.010508,0.014058,15,6320,421.3333,1312,0.013135,0.036132,347,81339,234.4063,1062,0.303853,0.465017
13,179026,241.92702702702704,197.33876294475854,206454.471760643,278.99252940627434,266.62465373935873,67199.49499346901,90.81012836955271,63.73906705805771,61954.430460947995,83.72220332560539,59.68487617403653,740,482,0.6513513513513514,44,9091,206.6136,1037,0.059459,0.080317,15,3801,253.4,692,0.02027,0.033581,43,10853,252.3953,667,0.058108,0.095884,36,10650,295.8333,1233,0.048649,0.09409,3,711,237.0,416,0.004054,0.006282,10,2541,254.1,576,0.013514,0.022449,9,2232,248.0,575,0.012162,0.019719,322,73310,227.6708,2293,0.435135,0.647678
14,74260,242.6797385620915,156.79700371822605,84405.363788797,275.8345221856111,253.4961622891402,24963.644660226,81.58053810531372,65.82836975440168,28718.469480337,93.8512074520817,62.16374120252212,306,236,0.7712418300653595,49,12133,247.6122,789,0.160131,0.197912,4,930,232.5,300,0.013072,0.01517,15,4201,280.0667,541,0.04902,0.068526,13,2731,210.0769,350,0.042484,0.044548,16,3477,217.3125,939,0.052288,0.056716,3,469,156.3333,186,0.009804,0.00765,7,1503,214.7143,391,0.022876,0.024517,129,35861,277.9922,958,0.421569,0.58496
16,44062,166.90151515151516,81.24472347637489,65604.462032662,248.50175012371972,250.19643512619749,21184.814279047,80.2455086327538,62.03791177598579,24872.17376239,94.21277940299242,62.58360690049718,264,156,0.5909090909090909,67,11796,176.0597,422,0.253788,0.445923,7,1309,187.0,244,0.026515,0.049484,17,2821,165.9412,375,0.064394,0.106642,16,2410,150.625,262,0.060606,0.091105,9,1098,122.0,166,0.034091,0.041508,1,188,188.0,188,0.003788,0.007107,0,0,0,0,0.0,0.0,39,6831,175.1538,602,0.147727,0.258232
17,144544,213.82248520710058,142.95738136332463,140762.428707553,208.22844483365827,260.74626059017265,62368.740896402,92.26145103018047,62.35467973186471,56565.199709763,83.67633093160207,57.2599741531578,676,446,0.6597633136094675,68,12057,177.3088,336,0.100592,0.123013,6,911,151.8333,252,0.008876,0.009295,35,8534,243.8286,820,0.051775,0.087069,43,10637,247.3721,700,0.063609,0.108525,27,5971,221.1481,642,0.039941,0.06092,5,852,170.4,226,0.007396,0.008693,10,2257,225.7,525,0.014793,0.023027,252,56795,225.377,1212,0.372781,0.579458
18,7022,250.78571428571428,182.37392543137486,8150.195060447,291.0783950159643,261.74947752827944,2618.62816412,93.52243443285714,51.01790125989346,2082.853403679,74.38762155996429,45.410622406604325,28,18,0.6428571428571429,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,374,187.0,232,0.071429,0.08365,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,16,4097,256.0625,814,0.571429,0.91635
19,431020,212.22058099458394,152.7481154974969,497928.508042452,245.1642087850576,270.0975241726534,178263.398033111,87.77124472334367,63.30381634314598,173843.846481828,85.59519767692171,61.161511987235805,2031,1359,0.6691285081240768,105,21786,207.4857,1026,0.051699,0.072248,11,2548,231.6364,715,0.005416,0.00845,147,31609,215.0272,890,0.072378,0.104823,43,8508,197.8605,431,0.021172,0.028215,85,21988,258.6824,1266,0.041851,0.072918,46,9597,208.6304,856,0.022649,0.031826,43,7646,177.814,604,0.021172,0.025356,879,197864,225.1013,1988,0.432792,0.656165
20,539059,258.0464337003351,180.26697221620392,426604.417824724,204.2146566896716,219.06933972818737,191939.526584038,91.88105628723694,65.4434168027597,204956.159210636,98.11209153213785,63.85918156296843,2089,1661,0.7951172809956917,483,98799,204.5528,814,0.231211,0.224175,12,2874,239.5,785,0.005744,0.006521,196,59328,302.6939,1154,0.093825,0.134615,86,22275,259.0116,697,0.041168,0.050542,174,51732,297.3103,1509,0.083293,0.11738,85,20678,243.2706,1185,0.040689,0.046918,3,489,163.0,166,0.001436,0.00111,622,184547,296.6994,2325,0.29775,0.418738
