StudyName,ExportDate,Name,Age,Gender,StimulusName,SlideType,EventSource,UTCTimestamp,Timestamp,MediaTime,TimeSignal,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,DistanceLeft,DistanceRight,CameraLeftX,CameraLeftY,CameraRightX,CameraRightY,ValidityLeft,ValidityRight,GazeX,GazeY,GazeAOI,InterpolatedGazeX,InterpolatedGazeY,GazeEventType,GazeVelocityAngle,SaccadeSeq,SaccadeStart,SaccadeDuration,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration,FixationAOI,PostMarker,Annotation,LiveMarker,KeyStroke,MarkerText,SceneType,SceneOutput,SceneParent,Current_task,Graph
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212220308,20170609_142220308,655353,662470,-1,-1,385,951,-1,3.138107,-1,497.885,-1,-1,0.3704433,0.496556,4,0,385,951,,385,951,,0,,,,909,380,947,655353,409,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212221775,20170609_142221775,656820,663937,971,889,1029,884,-1,-1,515.1013,494.1627,0.4824321,0.5000792,0.3530168,0.4917927,0,0,1000,886,,1000,886,,0,,,,911,1010,896,656820,114,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212221948,20170609_142221948,656993,664112,962,880,-1,-1,-1,-1,517.1428,-1,0.4839174,0.5023105,-1,-1,0,4,962,880,,962,880,,0,,,,912,949,880,656993,124,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212222499,20170609_142222499,657543,664662,887,164,-1,-1,-1,-1,515.8972,-1,0.4767545,0.5051852,-1,-1,0,4,887,164,,887,164,,0,,,,913,878,184,657543,158,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212223057,20170609_142223057,658101,665220,339,176,429,231,3.379898,3.225021,492.5709,493.1596,0.4859943,0.5099056,0.3604883,0.4974039,0,0,384,204,,384,204,,0,,,,914,376,224,658101,137,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212224109,20170609_142224109,659153,666261,810,894,871,923,-1,-1,538.8823,526.5405,0.4730352,0.5171925,0.346949,0.5059816,0,0,840,908,,847,920,,0,,,,915,831,911,659139,138,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212226506,20170609_142226506,661550,668670,317,861,312,862,3.376511,3.481735,519.4086,531.2228,0.4645989,0.5214769,0.3389716,0.5110159,0,0,314,862,,314,862,,0,,,,916,307,855,661550,191,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212227355,20170609_142227355,662399,669519,-1,-1,736,227,-1,3.172333,-1,516.2467,-1,-1,0.3414876,0.5081511,4,0,736,227,,736,227,,0,,,,917,734,214,662399,134,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212228206,20170609_142228206,663250,670369,1398,512,1457,515,3.36673,3.372772,531.1052,523.9604,0.4563946,0.5204297,0.3327693,0.5102671,0,0,1428,514,,1428,514,,0,,,,918,1426,516,663250,108,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212228506,20170609_142228506,663550,670669,1366,661,1440,667,3.368546,3.248169,523.9384,499.3544,0.4568299,0.5215756,0.3341809,0.5114555,0,0,1403,664,,1403,664,,0,,,,919,1407,649,663550,390,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212229747,20170609_142229747,664792,671911,992,341,-1,-1,-1,-1,516.0276,-1,0.4634179,0.5188273,-1,-1,0,4,992,341,,992,341,,0,,,,921,983,341,664792,183,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212230481,20170609_142230481,665526,672644,1432,524,1476,572,3.398285,3.288055,527.6887,504.8249,0.4573214,0.5173088,0.3322079,0.5104209,0,0,1454,548,,1454,548,,0,,,,922,1449,548,665526,138,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212230992,20170609_142230992,666037,673152,1377,546,1442,561,-1,-1,512.2723,487.612,0.4587247,0.5177644,0.3331327,0.5104119,0,0,1410,554,,1410,554,,0,,,,923,1398,563,666037,121,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212231380,20170609_142231380,666425,673544,1411,603,1462,635,3.348877,3.298828,525.8311,501.1486,0.4547744,0.5174611,0.3288695,0.5111911,0,0,1436,619,,1436,619,,0,,,,924,1446,614,666425,421,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212231828,20170609_142231828,666873,673986,1461,615,-1,-1,-1,-1,527.9708,-1,0.453775,0.5170266,-1,-1,0,4,1461,615,,1461,615,,0,,,,925,1485,603,666873,135,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212232025,20170609_142232025,667070,674186,1419,598,-1,-1,-1,-1,525.8025,-1,0.4549462,0.517513,-1,-1,0,4,1419,598,,1419,598,,0,,,,926,1437,616,667070,791,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212233038,20170609_142233038,668083,675202,-1,-1,1173,352,-1,-1,-1,512.6008,-1,-1,0.3333824,0.5078984,4,0,1173,352,,1173,352,,0,,,,927,1166,328,668083,174,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212233254,20170609_142233254,668299,675419,1338,168,1375,166,3.371902,3.512375,532.1968,524.035,0.4595227,0.5107742,0.332679,0.503319,0,0,1356,167,,1356,167,,0,,,,928,1369,146,668299,125,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212237067,20170609_142237067,672112,679232,266,815,335,854,-1,-1,490.526,489.1285,0.4873893,0.4878918,0.359015,0.4791945,0,0,300,834,,300,834,,0,,,,929,305,833,672112,125,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212237208,20170609_142237208,672253,679365,223,786,264,864,3.283539,3.347977,491.1789,490.3987,0.4896166,0.4894204,0.3611327,0.4791829,0,0,244,825,,244,825,,0,,,,930,252,832,672253,117,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212238217,20170609_142238217,673262,680381,-1,-1,172,186,-1,-1,-1,485.4832,-1,-1,0.3616396,0.4778591,4,0,172,186,,172,186,,0,,,,931,175,196,673262,109,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212238575,20170609_142238575,673620,680740,396,283,430,240,3.095657,3.110626,442.8393,463.0259,0.4941601,0.4885289,0.362739,0.4775713,0,0,413,262,,413,262,,0,,,,932,388,262,673620,175,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212239942,20170609_142239942,674986,682106,-1,-1,227,355,-1,-1,-1,450.4751,-1,-1,0.3666769,0.4785751,4,0,227,355,,227,355,,0,,,,933,231,361,674986,110,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212240067,20170609_142240067,675111,682231,319,478,306,385,-1,-1,430.4944,450.7668,0.4968137,0.488164,0.3660581,0.4782772,0,0,312,432,,312,432,,0,,,,934,322,404,675111,109,,,,,,,,,,DL11,BAR
1. Visualization Study 99min,20180125,,,,visualizationstudy,TestImage,ET,20170609_212240344,20170609_142240344,675388,682506,354,453,438,447,-1,-1,429.2504,449.5454,0.4969654,0.488258,0.366314,0.4781994,0,0,396,450,,396,450,,0,,,,935,400,456,675388,157,,,,,,,,,,DL11,BAR
