,StudyName,ExportDate,Name,Age,Gender,StimulusName,SlideType,EventSource,UTCTimestamp,Timestamp,MediaTime,TimeSignal,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,DistanceLeft,DistanceRight,CameraLeftX,CameraLeftY,CameraRightX,CameraRightY,ValidityLeft,ValidityRight,GazeX,GazeY,GazeAOI,InterpolatedGazeX,InterpolatedGazeY,GazeEventType,GazeVelocityAngle,SaccadeSeq,SaccadeStart,SaccadeDuration,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration,FixationAOI,PostMarker,Annotation,LiveMarker,KeyStroke,MarkerText,SceneType,SceneOutput,SceneParent Current_task
183,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211125398,20170609_141125398,443,7549,949,428,-1,-1,-1,-1,577.6418,-1,0.4615305,0.539786,-1,-1,0,4,949,428,,949,428,,0,,,,1,962,426,443,110,,,,,,,,,
264,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211126073,20170609_141126073,1118,8224,982,416,-1,-1,-1,-1,573.2605,-1,0.4593944,0.5403305,-1,-1,0,4,982,416,,982,416,,0,,,,2,992,437,1118,191,,,,,,,,,
292,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211126307,20170609_141126307,1352,8458,-1,-1,1066,324,-1,2.527496,-1,566.5333,-1,-1,0.3391516,0.5306725,4,0,1066,324,,1066,324,,0,,,,3,1064,348,1352,216,,,,,,,,,
365,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211126918,20170609_141126918,1963,9066,-1,-1,986,705,-1,-1,-1,555.2748,-1,-1,0.338976,0.5319511,4,0,986,705,,986,705,,0,,,,4,999,679,1963,105,,,,,,,,,
441,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211127548,20170609_141127548,2593,9699,1346,1042,1340,997,-1,-1,564.5908,542.1716,0.4571902,0.5447931,0.3380107,0.5349769,0,0,1343,1020,,1343,1020,,0,,,,5,1332,1036,2593,134,,,,,,,,,
537,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211128348,20170609_141128348,3393,10499,503,1057,-1,-1,-1,-1,564.0051,-1,0.463054,0.5464737,-1,-1,0,4,503,1057,,503,1057,,0,,,,6,489,1065,3393,101,,,,,,,,,
565,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211128582,20170609_141128582,3627,10732,-1,-1,511,1069,-1,3.11261,-1,558.8749,-1,-1,0.3418142,0.5363898,4,0,511,1069,,511,1069,,0,,,,7,486,1069,3627,134,,,,,,,,,
621,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211129052,20170609_141129052,4097,11199,942,438,-1,-1,-1,-1,565.4178,-1,0.461558,0.5434667,-1,-1,0,4,942,438,,942,438,,0,,,,8,960,453,4097,370,,,,,,,,,
709,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211129782,20170609_141129782,4827,11932,936,482,-1,-1,3.070633,-1,573.8828,-1,0.4605404,0.5434083,-1,-1,0,4,936,482,,936,482,,0,,,,9,947,503,4827,199,,,,,,,,,
747,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211130098,20170609_141130098,5143,12249,921,497,987,530,-1,-1,569.9113,555.1208,0.4610372,0.5435489,0.3393149,0.5333992,0,0,954,514,,954,514,,0,,,,10,960,521,5143,108,,,,,,,,,
762,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211130222,20170609_141130222,5267,12374,927,501,979,548,-1,-1,568.7952,551.7321,0.4606212,0.5433475,0.3389573,0.5333391,0,0,953,524,,953,524,,0,,,,11,954,524,5267,109,,,,,,,,,
848,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211130939,20170609_141130939,5984,13091,912,477,-1,-1,-1,-1,569.942,-1,0.4627249,0.5432679,-1,-1,0,4,912,477,,912,477,,0,,,,12,938,493,5984,183,,,,,,,,,
877,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211131181,20170609_141131181,6226,13332,895,798,938,834,3.161743,3.118607,571.5756,559.6961,0.460544,0.5441356,0.3401034,0.5338085,0,0,916,816,,916,816,,0,,,,13,915,838,6226,150,,,,,,,,,
937,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211131681,20170609_141131681,6726,13832,966,422,977,464,3.096786,2.985168,570.1047,557.1955,0.4593481,0.5414696,0.3376283,0.5322717,0,0,972,443,,972,443,,0,,,,14,967,440,6726,187,,,,,,,,,
965,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211131914,20170609_141131914,6959,14065,-1,-1,997,449,-1,-1,-1,563.0209,-1,-1,0.3376123,0.5323129,4,0,997,449,,997,449,,0,,,,15,989,442,6959,192,,,,,,,,,
991,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211132131,20170609_141132131,7176,14282,983,436,989,454,2.99762,2.825546,570.1859,557.9357,0.4607457,0.5419171,0.3389639,0.532266,0,0,986,445,,986,445,,0,,,,16,986,450,7176,118,,,,,,,,,
1008,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211132272,20170609_141132272,7317,14424,1045,394,-1,-1,-1,-1,568.9471,-1,0.4600761,0.541844,-1,-1,0,4,1045,394,,1045,394,,0,,,,17,1053,414,7317,142,,,,,,,,,
1027,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211132432,20170609_141132432,7477,14582,1135,378,1125,386,2.91478,2.904129,567.1025,557.7499,0.4585356,0.5416759,0.3370095,0.5323745,0,0,1130,382,,1130,382,,0,,,,18,1140,383,7477,174,,,,,,,,,
1065,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211132747,20170609_141132747,7792,14899,1019,481,-1,-1,-1,-1,563.286,-1,0.4579283,0.5416173,-1,-1,0,4,1019,481,,1019,481,,0,,,,19,1023,466,7792,267,,,,,,,,,
1098,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211133022,20170609_141133022,8067,15174,976,455,-1,-1,-1,-1,569.1377,-1,0.4574482,0.5418359,-1,-1,0,4,976,455,,976,455,,0,,,,20,965,461,8067,133,,,,,,,,,
1116,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211133172,20170609_141133172,8217,15324,960,458,-1,-1,-1,-1,567.419,-1,0.4577376,0.5417346,-1,-1,0,4,960,458,,960,458,,0,,,,21,973,459,8217,184,,,,,,,,,
1229,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211134113,20170609_141134113,9158,16265,-1,-1,856,403,-1,-1,-1,555.9401,-1,-1,0.3363451,0.5316387,4,0,856,403,,856,403,,0,,,,22,846,383,9158,117,,,,,,,,,
1260,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211134372,20170609_141134372,9417,16524,979,366,-1,-1,-1,-1,567.0569,-1,0.4561865,0.5413487,-1,-1,0,4,979,366,,979,366,,0,,,,23,984,367,9417,208,,,,,,,,,
1288,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211134605,20170609_141134605,9650,16757,1183,344,1137,358,2.709412,2.684708,565.9061,557.3085,0.4538308,0.5413639,0.3321105,0.5322038,0,0,1160,351,,1160,351,,0,,,,24,1176,353,9650,367,,,,,,,,,
1333,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211134984,20170609_141134984,10029,17132,1151,370,1147,373,2.609848,2.603424,563.2826,554.975,0.4515157,0.5411237,0.3294019,0.5323499,0,0,1149,372,,1149,372,,0,,,,25,1144,369,10029,113,,,,,,,,,
1349,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211135114,20170609_141135114,10159,17265,-1,-1,1060,374,-1,-1,-1,555.8038,-1,-1,0.3293757,0.5320449,4,0,1060,374,,1060,374,,0,,,,26,1039,374,10159,366,,,,,,,,,
1443,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211135897,20170609_141135897,10941,18048,-1,-1,984,508,-1,-1,-1,554.9677,-1,-1,0.3314503,0.5319957,4,0,984,508,,984,508,,0,,,,27,964,491,10941,475,,,,,,,,,
1503,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211136399,20170609_141136399,11443,18548,976,595,997,621,-1,-1,568.088,554.8914,0.4524191,0.5414755,0.3317165,0.5326868,0,0,986,608,,986,608,,0,,,,28,986,614,11443,415,,,,,,,,,
1598,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211137189,20170609_141137189,12233,19340,949,664,-1,-1,-1,-1,568.9331,-1,0.4504348,0.5424678,-1,-1,0,4,949,664,,949,664,,0,,,,29,972,671,12233,150,,,,,,,,,
1617,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211137347,20170609_141137347,12391,19498,-1,-1,980,703,-1,-1,-1,556.0491,-1,-1,0.3281957,0.5335908,4,0,980,703,,980,703,,0,,,,30,966,680,12391,848,,,,,,,,,
1744,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211138408,20170609_141138408,13452,20557,-1,-1,943,764,-1,3.156387,-1,555.8972,-1,-1,0.3261833,0.5340616,4,0,943,764,,943,764,,0,,,,31,932,766,13452,1015,,,,,,,,,
1868,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211139439,20170609_141139439,14483,21590,935,769,950,759,-1,-1,572.1003,553.2927,0.4494128,0.543624,0.3273972,0.5342011,0,0,942,764,,942,764,,0,,,,32,933,774,14483,158,,,,,,,,,
