,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration
183,1.0,962.0,426.0,443.0,110.0
264,2.0,992.0,437.0,1118.0,191.0
292,3.0,1064.0,348.0,1352.0,216.0
365,4.0,999.0,679.0,1963.0,105.0
441,5.0,1332.0,1036.0,2593.0,134.0
537,6.0,489.0,1065.0,3393.0,101.0
565,7.0,486.0,1069.0,3627.0,134.0
621,8.0,960.0,453.0,4097.0,370.0
709,9.0,947.0,503.0,4827.0,199.0
747,10.0,960.0,521.0,5143.0,108.0
762,11.0,954.0,524.0,5267.0,109.0
848,12.0,938.0,493.0,5984.0,183.0
877,13.0,915.0,838.0,6226.0,150.0
937,14.0,967.0,440.0,6726.0,187.0
965,15.0,989.0,442.0,6959.0,192.0
991,16.0,986.0,450.0,7176.0,118.0
1008,17.0,1053.0,414.0,7317.0,142.0
1027,18.0,1140.0,383.0,7477.0,174.0
1065,19.0,1023.0,466.0,7792.0,267.0
1098,20.0,965.0,461.0,8067.0,133.0
1116,21.0,973.0,459.0,8217.0,184.0
1229,22.0,846.0,383.0,9158.0,117.0
1260,23.0,984.0,367.0,9417.0,208.0
1288,24.0,1176.0,353.0,9650.0,367.0
1333,25.0,1144.0,369.0,10029.0,113.0
1349,26.0,1039.0,374.0,10159.0,366.0
1443,27.0,964.0,491.0,10941.0,475.0
1503,28.0,986.0,614.0,11443.0,415.0
1598,29.0,972.0,671.0,12233.0,150.0
1617,30.0,966.0,680.0,12391.0,848.0
1744,31.0,932.0,766.0,13452.0,1015.0
1868,32.0,933.0,774.0,14483.0,158.0
1892,33.0,771.0,865.0,14684.0,199.0
1947,34.0,915.0,505.0,15141.0,184.0
1978,35.0,630.0,959.0,15399.0,159.0
2070,36.0,893.0,508.0,16166.0,137.0
4558,37.0,957.0,501.0,37312.0,125.0
4592,38.0,545.0,732.0,37595.0,250.0
4629,39.0,954.0,966.0,37904.0,807.0
4831,40.0,993.0,372.0,39587.0,547.0
4929,41.0,929.0,650.0,40403.0,108.0
6216,42.0,984.0,744.0,51110.0,158.0
6238,43.0,933.0,561.0,51294.0,124.0
6523,44.0,957.0,642.0,53670.0,123.0
6642,45.0,927.0,408.0,54660.0,125.0
6843,46.0,972.0,432.0,56335.0,134.0
7611,47.0,947.0,542.0,62730.0,124.0
7673,48.0,916.0,513.0,63246.0,209.0
8147,49.0,931.0,627.0,67195.0,136.0
8207,50.0,954.0,668.0,67696.0,366.0
8270,51.0,954.0,685.0,68220.0,142.0
8336,52.0,963.0,676.0,68770.0,150.0
8364,53.0,977.0,686.0,69003.0,160.0
8467,54.0,536.0,212.0,69864.0,165.0
8498,55.0,474.0,216.0,70121.0,153.0
8549,56.0,467.0,871.0,70548.0,148.0
8700,57.0,417.0,160.0,72672.0,103.0
8714,58.0,462.0,111.0,72791.0,109.0
9061,59.0,848.0,33.0,75772.0,185.0
9134,60.0,704.0,279.0,76380.0,856.0
9376,61.0,568.0,269.0,78397.0,126.0
9574,62.0,524.0,366.0,80046.0,175.0
9725,63.0,1365.0,294.0,81304.0,175.0
9749,64.0,1540.0,236.0,81507.0,115.0
9877,65.0,1535.0,246.0,82575.0,146.0
9969,66.0,442.0,305.0,83337.0,109.0
10108,67.0,1367.0,319.0,84496.0,201.0
10201,68.0,1232.0,349.0,85271.0,100.0
10220,69.0,1568.0,275.0,85429.0,175.0
10338,70.0,708.0,404.0,86412.0,159.0
10480,71.0,1375.0,359.0,87597.0,150.0
10501,72.0,1458.0,356.0,87776.0,103.0
10784,73.0,1436.0,367.0,90129.0,117.0
10800,74.0,1448.0,357.0,90264.0,111.0
11020,76.0,1464.0,445.0,92095.0,167.0
11041,77.0,1424.0,465.0,92270.0,117.0
11056,78.0,1431.0,465.0,92396.0,149.0
11079,79.0,1527.0,438.0,92587.0,159.0
11127,80.0,454.0,511.0,92987.0,308.0
11165,81.0,449.0,525.0,93303.0,134.0
11183,82.0,500.0,522.0,93453.0,184.0
11211,83.0,551.0,518.0,93687.0,111.0
11238,84.0,696.0,518.0,93911.0,109.0
11434,85.0,486.0,556.0,95548.0,164.0
11492,86.0,677.0,564.0,96028.0,117.0
11509,87.0,680.0,551.0,96173.0,105.0
11681,88.0,1355.0,568.0,97603.0,100.0
11697,89.0,1496.0,533.0,97741.0,129.0
11776,90.0,451.0,640.0,98394.0,192.0
11810,91.0,668.0,641.0,98677.0,142.0
11835,92.0,836.0,609.0,98888.0,323.0
11973,93.0,869.0,611.0,100036.0,175.0
11995,94.0,813.0,607.0,100220.0,190.0
12129,95.0,1212.0,577.0,101335.0,135.0
12148,96.0,1353.0,583.0,101495.0,350.0
12193,97.0,1477.0,584.0,101869.0,208.0
12221,98.0,1371.0,593.0,102103.0,259.0
12531,100.0,1336.0,641.0,104685.0,126.0
12624,101.0,459.0,816.0,105461.0,183.0
12695,102.0,453.0,793.0,106056.0,131.0
12724,103.0,429.0,813.0,106297.0,414.0
12778,104.0,405.0,808.0,106744.0,275.0
12812,105.0,407.0,822.0,107027.0,117.0
12828,106.0,401.0,818.0,107161.0,141.0
12875,107.0,401.0,818.0,107554.0,123.0
12893,108.0,396.0,820.0,107702.0,200.0
12938,109.0,395.0,823.0,108077.0,367.0
12983,110.0,435.0,868.0,108452.0,309.0
13021,111.0,476.0,918.0,108769.0,201.0
13068,112.0,498.0,833.0,109161.0,174.0
13090,113.0,449.0,827.0,109344.0,244.0
13120,114.0,449.0,825.0,109594.0,200.0
13156,115.0,404.0,588.0,109892.0,143.0
13188,116.0,418.0,304.0,110162.0,173.0
13227,117.0,563.0,227.0,110485.0,159.0
13249,118.0,404.0,281.0,110671.0,197.0
13309,119.0,554.0,226.0,111173.0,128.0
13401,120.0,398.0,514.0,111935.0,175.0
13476,121.0,1314.0,1025.0,112562.0,140.0
13497,122.0,1441.0,1015.0,112736.0,141.0
13535,123.0,1488.0,1028.0,113054.0,173.0
13573,124.0,1463.0,1032.0,113369.0,217.0
13601,125.0,1468.0,1030.0,113604.0,176.0
13623,126.0,1454.0,1033.0,113785.0,158.0
13656,127.0,1455.0,1029.0,114060.0,1011.0
13903,128.0,454.0,121.0,116117.0,126.0
14026,129.0,400.0,228.0,117143.0,275.0
14100,130.0,332.0,198.0,117760.0,228.0
14158,131.0,388.0,304.0,118244.0,129.0
14182,132.0,373.0,325.0,118443.0,200.0
14208,133.0,406.0,356.0,118660.0,275.0
14242,134.0,448.0,360.0,118942.0,200.0
14269,135.0,353.0,355.0,119169.0,964.0
14535,136.0,430.0,347.0,121385.0,222.0
14988,137.0,354.0,510.0,125158.0,122.0
15013,138.0,312.0,536.0,125367.0,103.0
15028,139.0,275.0,527.0,125492.0,150.0
15073,140.0,393.0,671.0,125870.0,222.0
15103,141.0,379.0,594.0,126117.0,194.0
15110,142.0,438.0,523.0,126526.0,214.0
15213,143.0,384.0,302.0,127039.0,104.0
15229,144.0,394.0,388.0,127167.0,249.0
15274,145.0,389.0,262.0,127542.0,550.0
15343,146.0,396.0,256.0,128116.0,211.0
15361,147.0,375.0,277.0,128355.0,395.0
15409,148.0,331.0,277.0,128754.0,593.0
15510,149.0,334.0,296.0,129598.0,250.0
15541,150.0,380.0,281.0,129854.0,300.0
15583,151.0,523.0,239.0,130208.0,140.0
15841,152.0,442.0,164.0,132354.0,171.0
15904,153.0,504.0,186.0,132879.0,175.0
16060,154.0,373.0,251.0,134178.0,293.0
16098,155.0,390.0,262.0,134495.0,284.0
16434,156.0,363.0,215.0,137387.0,145.0
16821,157.0,561.0,276.0,140610.0,103.0
16870,158.0,472.0,307.0,141013.0,141.0
16888,159.0,408.0,313.0,141163.0,397.0
17488,160.0,414.0,369.0,146250.0,135.0
17506,161.0,409.0,353.0,146402.0,148.0
17527,162.0,509.0,390.0,146577.0,132.0
17581,163.0,431.0,351.0,147026.0,151.0
17605,164.0,388.0,370.0,147227.0,249.0
17644,165.0,486.0,440.0,147551.0,182.0
17689,166.0,386.0,303.0,147927.0,257.0
17752,167.0,530.0,405.0,148452.0,106.0
17780,168.0,724.0,395.0,148683.0,123.0
18287,169.0,492.0,320.0,152908.0,124.0
18356,170.0,455.0,225.0,153486.0,264.0
18599,171.0,420.0,315.0,155507.0,169.0
18620,172.0,494.0,356.0,155682.0,194.0
18644,173.0,471.0,308.0,155882.0,200.0
18674,174.0,416.0,414.0,156132.0,149.0
18772,175.0,390.0,162.0,156949.0,101.0
18788,176.0,392.0,266.0,157082.0,167.0
18817,177.0,425.0,338.0,157325.0,126.0
19364,178.0,456.0,249.0,161882.0,120.0
19573,179.0,382.0,339.0,163624.0,100.0
19586,180.0,401.0,414.0,163733.0,224.0
19615,181.0,435.0,413.0,163974.0,130.0
19703,182.0,396.0,367.0,164708.0,266.0
19771,183.0,431.0,396.0,165272.0,135.0
19849,184.0,415.0,427.0,165924.0,136.0
19876,185.0,303.0,395.0,166149.0,175.0
19901,186.0,398.0,377.0,166356.0,244.0
19975,187.0,280.0,368.0,166974.0,250.0
20011,188.0,297.0,400.0,167274.0,175.0
20035,189.0,312.0,389.0,167474.0,333.0
20083,190.0,410.0,406.0,167877.0,239.0
20126,191.0,413.0,407.0,168232.0,169.0
20153,192.0,556.0,410.0,168457.0,174.0
20263,193.0,351.0,352.0,169375.0,225.0
20291,194.0,384.0,320.0,169606.0,143.0
20314,195.0,390.0,476.0,169800.0,173.0
20336,196.0,386.0,444.0,169980.0,127.0
20390,197.0,376.0,495.0,170432.0,198.0
20416,198.0,405.0,524.0,170648.0,133.0
20464,199.0,422.0,557.0,171048.0,225.0
20492,200.0,474.0,539.0,171280.0,125.0
20518,201.0,318.0,449.0,171497.0,134.0
20572,202.0,805.0,488.0,171947.0,109.0
20615,203.0,407.0,548.0,172307.0,224.0
20666,204.0,324.0,556.0,172728.0,304.0
20704,205.0,395.0,572.0,173046.0,309.0
20744,206.0,296.0,550.0,173380.0,217.0
20775,207.0,399.0,525.0,173643.0,163.0
20802,208.0,481.0,506.0,173863.0,108.0
20846,209.0,766.0,521.0,174232.0,148.0
20905,210.0,416.0,551.0,174721.0,151.0
20924,211.0,372.0,539.0,174881.0,176.0
20947,212.0,382.0,529.0,175074.0,148.0
20966,213.0,501.0,528.0,175231.0,127.0
20987,214.0,319.0,523.0,175406.0,253.0
21019,215.0,387.0,556.0,175672.0,176.0
21056,216.0,351.0,548.0,175981.0,243.0
21086,217.0,323.0,546.0,176231.0,191.0
21112,218.0,401.0,654.0,176448.0,249.0
21149,219.0,366.0,595.0,176759.0,122.0
21178,220.0,347.0,122.0,176997.0,263.0
21233,221.0,464.0,160.0,177456.0,241.0
21338,222.0,386.0,305.0,178327.0,142.0
21650,223.0,451.0,218.0,180927.0,341.0
21692,224.0,420.0,221.0,181276.0,167.0
21715,225.0,501.0,252.0,181474.0,171.0
21782,226.0,622.0,240.0,182022.0,192.0
21830,227.0,480.0,173.0,182426.0,138.0
21930,228.0,627.0,214.0,183262.0,306.0
21969,229.0,562.0,219.0,183577.0,242.0
22054,230.0,538.0,218.0,184282.0,275.0
22089,231.0,601.0,210.0,184574.0,299.0
22129,232.0,432.0,182.0,184911.0,188.0
22179,233.0,468.0,222.0,185325.0,239.0
22209,234.0,514.0,224.0,185570.0,192.0
22233,235.0,546.0,215.0,185769.0,168.0
22254,236.0,608.0,224.0,185950.0,261.0
22331,237.0,496.0,154.0,186586.0,125.0
22425,238.0,427.0,198.0,187370.0,273.0
22474,239.0,521.0,210.0,187775.0,144.0
22495,240.0,468.0,225.0,187949.0,100.0
22527,241.0,608.0,240.0,188216.0,158.0
22549,242.0,580.0,219.0,188400.0,141.0
22567,243.0,544.0,227.0,188550.0,278.0
22608,244.0,479.0,289.0,188890.0,135.0
22705,245.0,521.0,196.0,189699.0,144.0
22761,246.0,601.0,203.0,190167.0,182.0
22785,247.0,575.0,189.0,190367.0,133.0
22803,248.0,504.0,169.0,190520.0,199.0
22911,249.0,351.0,169.0,191507.0,200.0
22936,250.0,414.0,303.0,191713.0,170.0
22983,251.0,371.0,398.0,192105.0,107.0
23046,252.0,366.0,175.0,192630.0,125.0
23080,253.0,481.0,272.0,192913.0,118.0
23109,254.0,612.0,244.0,193154.0,111.0
23322,255.0,523.0,325.0,194931.0,176.0
23377,256.0,435.0,336.0,195387.0,166.0
23437,257.0,405.0,327.0,195887.0,141.0
23961,258.0,339.0,429.0,200253.0,133.0
24079,259.0,421.0,494.0,201236.0,200.0
